“Don't cry because it's over, smile because it happened.”	Dr. Seuss	
“We are all in the gutter, but some of us are looking at the stars.”	Oscar Wilde	Lady Windermere's Fan
“How wonderful it is that nobody need wait a single moment before starting to improve the world.”	Anne Frank	Anne Frank's Tales from the Secret Annex
“Promise Yourself<br/><br/>To be so strong that nothing<br/>can disturb your peace of mind.<br/>To talk health, happiness, and prosperity<br/>to every person you meet.<br/><br/>To make all your friends feel<br/>that there is something in them<br/>To look at the sunny side of everything<br/>and make your optimism come true.<br/><br/>To think only the best, to work only for the best,<br/>and to expect only the best.<br/>To be just as enthusiastic about the success of others<br/>as you are about your own.<br/><br/>To forget the mistakes of the past<br/>and press on to the greater achievements of the future.<br/>To wear a cheerful countenance at all times<br/>and give every living creature you meet a smile.<br/><br/>To give so much time to the improvement of yourself<br/>that you have no time to criticize others.<br/>To be too large for worry, too noble for anger, too strong for fear,<br/>and too happy to permit the presence of trouble.<br/><br/>To think well of yourself and to proclaim this fact to the world,<br/>not in loud words but great deeds.<br/>To live in faith that the whole world is on your side<br/>so long as you are true to the best that is in you.”	Christian D. Larson	Your Forces and How to Use Them
“A pessimist sees the difficulty in every opportunity; an optimist sees the opportunity in every difficulty.”	Winston S. Churchill	
“There is some good in this world, and it's worth fighting for.”	J.R.R. Tolkien	The Two Towers
“Even the darkest night will end and the sun will rise.”	Victor Hugo	Les Misérables
“Dwell on the beauty of life. Watch the stars, and see yourself running with them.”	Marcus Aurelius	Meditations
“What day is it?"<br/>It's today," squeaked Piglet.<br/>My favorite day," said Pooh.”	A.A. Milne	
“We are all different. Don’t judge, understand instead.”	Roy T. Bennett	The Light in the Heart
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”	Roy T. Bennett	The Light in the Heart
“Acts of Kindness:<br/>A random act of kindness, no matter how small, can make a tremendous impact on someone else's life.”	Roy T. Bennett	The Light in the Heart
“Respect other people's feelings. It might mean nothing to you, but it could mean everything to them.”	Roy T. Bennett	
“Man often becomes what he believes himself to be. If I keep on saying to myself that I cannot do a certain thing, it is possible that I may end by really becoming incapable of doing it. On the contrary, if I have the belief that I can do it, I shall surely acquire the capacity to do it even if I may not have it at the beginning.”	Mahatma Gandhi	
“Life is too short to waste your time on people who don’t respect, appreciate, and value you.”	Roy T. Bennett	The Light in the Heart
“More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.”	Roy T. Bennett	The Light in the Heart
“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”	Roy T. Bennett	
“Instead of worrying about what you cannot control, shift your energy to what you can create.”	Roy T. Bennett	The Light in the Heart
